text,stars
In general very good buffet for the price..nice little sushi bar ..crab legs and such. I highly recommend if u like Chinese  buffet ..,5
We sat at the bar as we usually do and ordered a couple of drinks and some appetizers. Our bartender was the worst terrible service and just a bad vibe. We over heard him arguing with a female coworker. It wasn't really busy.. I think he was just having a bad day or is just a jerk. Either way he ruined our experience..,1
Great Thai food! hole in the wall style location.  Very friendly staff. Let Sabi make your favorite and you will be impressed.,5
"I am giving it 4 stars just because it's vegan, but it really only deserves 3 stars. The quality of the food is great, but the flavours are just a little off. We've been twice now, tried different dishes, and every time everyone at the table is slightly disappointed by the flavours. The dishes are so close to being delicious, yet so far. I will return on invite, but won't be suggesting it as a go to spot.",4
This was the first Pho place I ever tried in Vegas. I absolutely love the Shrimp Pho. I was actually sick for a few days and after eating this 2-3days in a row.. I was feeling much better. Only thing is the places gets packed so its hard to place a to go order. Online ordering would make this so much easier but even the wait and chaos IS WORTH IT!!,4
It is so awesome! We really love it! Definitely a super fun summer activity! Can't wait to come back again! We love extreme air!!,5
"I have had Baguette Cafe bookmarked to try for a while and finally stopped by on my lunch break to try out a sandwich. Baguette Cafe is a bit hard to find the first time. I had trouble locating it since it is nestled with other office buildings, but had the address thanks to yelp and soon found my way. I was impressed with how many tables and chairs there is outside. It was a glorious day out too and many people were eating out there.

When it came time for my order, Olivier, one of the owners was glad to go over the different sandwiches with me. I ordered ""The Prosciutto"" priced at $6.95 and it came on a baguette. The sandwich had prosciutto, salami, mixed greens, tomato, walnuts, celery and blue cheese spread. The sandwich had a good taste, but the bread was tough to chew and rough on my gums. I have been told by other yelpers that getting the sandwich ""panini"" style isn't so rough on your jaw/mouth, but wanted to try it how it came on the baguette the first time. I also didn't taste any celery and only tasted one bite of blue cheese and felt the sandwich could have had more meat in it to match the rough texture of the bread, but did I did think what was in-between the bread tasted good.  I also kindly asked him if he would do the honor of choosing a dessert for me to have later. The reason I asked him to chose for me is because I would have went with the same ole thing and I'm sure that would have tasted great, but I wanted to try something different. Sure enough, what Olivier picked out was nothing I would have picked on my own and now after having it, I was left craving more.

Should you want to cater breakfast or lunch for your office, Baguette Cafe can handle that for you. With the right amount of notice they can deliver and set up the food so call and ask for details. 

If you are feeling like an omelet, sandwich, wrap, soup, salad, fresh juice or even a latte, they have that too.",3
"We have visited Heart and Soul Cafe a few times in the past 6 months. They are consistent on good service and good food. The place is clean. We have had salad, sandwich, and pizza.
The portions are generous and the prices are reasonable.
This is a spot we pop in when out running errands and need a bite.",4
"Frozen cosmos with a shot of chambord = AWESOME.  Priced for Happy Hour (4:30-6:30) at $3.50 is hard to beat.

Mac and cheese is excellent, as is the lasagne aubergine.  The service wasn't noticeably bad, so I have no complaints there.  

I take all my out-of-town guests there.",4
"This has to be the best restaurant, Thai or other, that is in Squirrel Hill. The dishes all display their unique taste traits while coming together perfectly. I'm addicted to mango tango and the fresh rolls. They actually make the dish Thai spicy if you ask for it, not just American spicy.
What's wonderful about this place is that the it's not just about delicious food. The owner and staff are extraordinarily kind and go out of their way to make your dining experience enjoyable. 
Please eat here and don't miss out on an incredible meal with kind people.",5
"First things first: Amanda was an exceptional server. Very funny and engaging, she made us feel welcome immediately. 
For this reason alone, I will be back. I haven't ordered yet, and will continue this review after I eat :)

Annnd, I ate. It was really yummy. I had the country benny and at first I was thinking ""theres no way ill finish this.."" 
Fast forward about 5 mins, im looking down at a completely clean plate....yep. Im not ashamed. Youll probably do the same thing.",5
"5 stars just for the Iced Tea!!! It wasn't your average passion fruit, it was something better; even garnished with an orange. The service was on the brink of ""too good"" and the food was excellent.

We sat at the bar to watch the Illinois Basketball game; they have about 3-4 TVs to watch sports. There is also plenty of seating.

For appetizers, we ordered the cheese curds, pretzel, and lamb meatballs. The cheese curds were amazing, basically just fried cheese with marinara sauce. The pretzel was also good - a little burnt in places but nothing too aggravating. It came with nacho cheese and mustard. Our server had the chef chop it up into bite size so we could share easily. Very thoughtful. 

For my lunch entree, I ordered the Dijon chicken. It came with two asparagus and mashed sweet potatoes with sausage chopped up in it. for about $10, i would order this over and over again. It truly felt like a hearty, but healthy lunch option, especially relative to other options on the menu. The price cannot be beat.",5
"What a foolish excuse; it's run more like a carnival than a business. 
I've gone their for years. Today I couldn't communicate to the detailers to roll my windows down a bit to wipe the window edges. I walked up to the manager, ""Dustin,"" with my five dollar tip in my hand and said, ""I'd love to tip someone if I could get them to wipe off my window edges.""
Dustin first let me know that, ""hey, they don't speak English, so what do you want?"" (with a grin and a dismissive shrug). 
Then he let me know that it was against owner's policy  and that he would lose his job if he had the window edges wiped. I said I thought that was ridiculous. 
THEN he said if ""you want the window edges wiped that's a two dollar charge.  You have to pay two dollars for that.""  This was silly, especially because I'm standing there holding a $5 bill I'm trying to give someone. 
At that point the little guy was up in my face and was very confrontational. So I said that I know BS when I hear it, and the verbal exchange went downhill from there. 
Needless to say, I didn't get my window edges wiped and the staff didn't get a tip. 
I just think its odd that a so-called ""business"" owner would encourage his staff to be so obnoxious over trivial stuff; but from the other comments it sounds like the owner is an incredible jerk and that certainly is communicated by his staff. 
The other revolting attitude was the racist contempt Dustin and his assistants have for the Hispanic detailers; that really came through loud and clear. 
We have this gigantic immigration problem caused by business owners hiring illegals. Then, rather than being grateful for inexpensive, hardworking help they cultivate this abusive attitude toward them. These superior and arrogant white guys are shameful and disgusting in their attitudes. 
Don't waste your time and money on this bunch of racist carnies. They are as nasty to their staff as they will be to you.",1
"The staff here is wonderful. Every time I go Steve the master sushi chef always shows great hospitality. He'll even make some special dishes just for fun. The fish is fresh and the rolls are made tight and right. The environment is very nice,modern, and open.  Wednesdays and Thursdays they have $4 martinis and they are delish. Ask for the fantasy roll, it's not on the menu. The reason I give it four out of five is because there is no AYCE,otherwise it's a great spot all around.",4
"Local, fresh, funky with a great peaceful vibe from everyone, employee and patio ""friends"" you make included...",5
Kids love going here. From my 19 yr old down to my 8yr old god son. This place is fun and affordable. Great place for anyone to be physically active versus sports or gyms that come with a monthly membership. #familyfun,5
"I give this place 2 stars because it was incredibly average. I loved the ambiance, the attentiveness from the staff, the cleanliness. All those things were great. But when it comes down to it, I just want a good wax. The gal who did mine was super friendly, very nice. But again, I just want it done right. She had missed a few hairs, so I had to go home and shave. I also got a brow waxing and the shape is exactly what I came in with. I even advised the front desk when I set the appt, that it was important I have someone who can shape brows. I'm not saying I wouldn't go back, I'm just saying it wasn't a great wax. Everything else was awesome.",2
"Of course it's Saturday and after 2 pm and I call the store and they tell me expect a MINIMUM 2 HOUR WAIT, which I'm good with. It's 109 degrees in the shade and having worked in this heat for 30 years understand by the end of the day it's drained you.
Patrick who took the call what great to talk to as well as Justin at the counter who took able to handle what I needed done to my vehicle.
I've used Discount Tire for years and will continue to.",5
Just tried this place for the first time today since we just moved offices downtown and I was blown away! Incredible burrito and extremely friendly staff. I've never been to a burrito spot that can make it as specifically spicy as I like it and they nailed it. Nothing bland about the food here.. create whatever you want and as spicy as you like. Great experience and will most definitely be back.,5
"My husband and I were really in the mood for a good burger & we were so disappointed. We ordered the Green Chile French Fries and the Green Chile's were cold on the plate. We told the waitress we were splitting a burger (we built our own) & when I received mine there was very little meat on it. Biggest mistake don't tell them your splitting it, because the gentleman next to me his burger was Huge! Not worth the money.",2
"I have been to Thailand before and I find the food here to be quite good.  It is really nice that Fountain Hills finally has a Thai restaurant; it was badly needed.  The place is small and can get crowded, especially at lunch time.  I prefer lunch here, as the prices are better.  The spices taste authentic and it is nice you can get the level of heat you want (1 for mild; 5 for hot).  The 5 isn't terribly hot, so if you like Thai food even a bit spicy, I would tend towards 4 or 5.  The Drunken Noodles were very good, but the other dishes I tried were good too.",5
The service department has had my van numerous times for the same problem. Then I asked about trading the vehicle in and they offered me way less than my vehicle is worth and actually added 800$ to the sticker price of their vehicle. Seemed crazy but that was there offer. I would not recommend this facility.,1
"This place is just flat out delicious. I mean, flavor explosion to the head, shhhh-I'm-eating, how do they do it kind of delicious. They don't have a liquor license, which is odd - you have to be a local to know to bring some wine. I didn't know... But it's ok: all my cash went to the chef, and I feel he deserves it. Bravo.",5
"2/5 stars, a blatant waste of money. Where do I start. Let's get the good things out of the way first. The decoration is appealing and the service is ok. If only the same could be said about the food.  The portions were very small for the amount paid. Almost 6bucks for a fistful of tempura fish cakes that weren't evenly seasoned. Some pieces were much saltier than the others (at one point it felt like I ate a spoonful of salt).10 bucks for a fried chicken bento that comes with rice, UNseasoned broccoli, half a cutlet of chicken, HALF an egg and HALF a meatball. I get that meat could be expensive but half a meatball?! Half an egg?! I also ordered Tainan braised pork rice and my oh my. The pork was less than a fistful and was very dry (tasted like it was microwaved) and there was no gravy or sauce to add moisture to the meal. It was overall unsatisfying. I was really excited for this place to open at first because I really like Taiwanese style street snacks. But after giving this place a try twice, I would say that I am utterly disappointed.",2
